SKU,Handle,Option1 Name,Option1 Value,WS,RRP
KFT28,kartech-floor-tray-washer-c-sunk-black-plastic-6mm,Title,Default Title,2,3
SE67,kartech-seat-spacer-black-plastic-8mm,Title,Default Title,2,3
SE70,kartech-seat-spacer-tapered-black-plastic-8mm-to-align-seat-bracket,Title,Default Title,2,3
SE71,kartech-seat-washer-c-sunk-black-plastic-8mm,Title,Default Title,2,3
W54,kartech-wheel-nut-22m-with-8mm-internal-hex,Title,Default Title,3,5
W55,kartech-wheel-stud-kartech,Title,Default Title,3,5
W53,kartech-wheel-bearing-15mm-6202zz,Title,Default,4,5
AX30M960-B,kartech-axle-30mm,Type,Kartech Axle 30 x 3.5 x 960 Medium,80,255
AX40XXXS,kartech-axle-40mm,Type,Kartech Axle 40 x 3 x 1050 Extra Soft | Key is AXK8P4-3,160,245
AX50XXXS,kartech-axle-50mm,Type,Kartech Axle 50 x 2 x 1030 Extra Soft | Key Is AXK50P3,180,275
AXB40RS,kartech-axle-bearing-40mm-dirt-kart,Title,Default Title,24,37
AXQ50D5,kartech-bearing-flange-x5,Type,Kartech Bearing Flange 50mm Centre & Drive Cam Ride Height X5-X7,63,100
BDHC34,kartech-brake-caliper-adapter-bracket-x5,Title,Default Title,49,58
BRDH30A,kartech-brake-disc-hub-30mm-black-suit-brdfl-brake,Title,Default Title,74,116
BRDH301,kartech-brake-disc-hub-floating,Type,Kartech Brake Disc Hub 30mm Black Floating Disc,105,150
SPH301,kartech-quick-change-sprocket-hub,Type,Kartech Sprocket Hub 30mm Quick Change Black,105,150
KSB022A,kartech-steering-boss-adjustable,Type,Kartech Steering Boss Adjustable 20mm,84,120
KSB020,kartech-steering-boss-angled-19mm,Type,Kartech Steering Boss Angled 19mm,63,90
STTB,kartech-steering-wheel-timing-bracket,Title,Default Title,29,37
KTR15A,kartech-tie-rod-end,Type,Kartech Tie Rod End 8mm Male R|H,13,16
KTB5G,kartech-torsion-bar-clamp-30mm-x5,Title,Default Title,32,48
WHFD80,kartech-wheel-hub-front-17mm,Type,Kartech Wheel Hub Front 17 x 80mm Black,74,116
WHFD8025,kartech-wheel-hub-front-25mm,Type,Kartech Wheel Hub Front 25 x 80mm Black,74,105
WH40WLPR,kartech-wheel-hub-locator-40mm,Type,Kartech Wheel Hub Locator 40mm 5mm,8,11
WH3080,kartech-wheel-hub-rear-30mm,Type,Kartech Wheel Hub Rear 30 x 80mm Black,63,100
WH4080,kartech-wheel-hub-rear-40mm,Type,Kartech Wheel Hub Rear 40 x 80mm Black,69,105
WH5090,kartech-wheel-hub-rear-50mm,Type,Kartech Wheel Hub Rear 50 x 90mm Black,70,99
KKP8A,kartech-king-pin-caster-adjuster-locator-ball-10mm-x1-x4,Title,Default Title,4,5
BNH855H,bolt-hex-head-8-x-55mm-6l-tanks-1,Title,Default Title,0.5,1
KAHRM,kartech-adjustable-alloy-heel-rest-mount-incl-clamp-x5-x1-1,Type,Default Title,147,226
ABADV,kartech-airbox-adaptor-yamaha-1,Title,Default Title,16,27
T07,kartech-allen-key-7mm-cr-v-1,Title,Default Title,5,5
AXLCK30,kartech-axle-collar-set-30-40-51,Type,Kartech Axle Collar Set 30mm,36,63
AXK6P,kartech-axle-key-30mm-1,Type,Kartech Axle Key 3 Peg 6W x 6H x 59L - 30mm axle,9,13
AXK8P4-3,kartech-axle-key-40mm-1,Type,Kartech Axle Key 3 Peg 8W x 4H x 50L - 40mm Axle,9,13
AXK50P3,kartech-axle-key-50mm-1,Type,Kartech Axle Key 3 Peg 8W x 3.4H x 59L x 7.4 Pegs - 50mm Axle,10,14
KAXRHCH,kartech-axle-ride-height-cam-hex-1,Title,Default Title,13,16
KAXRHCL/L,kartech-axle-ride-height-cam-l-h-locator-brake-side-1,Title,Default Title,16,27
KAXRHCL/R,kartech-axle-ride-height-cam-r-h-locator-engine-side-1,Title,Default Title,16,27
W59/3,kartech-bead-retainer-bolt-o-ring-allen-key-type-pkt-4,Title,Default Title,8,11
AXQWSB,kartech-bearing-flange-washer-1,Title,Default Title,4,5
KBC8,kartech-brake-rod-assembly-alloy-mrc-short-position-1,Title,Default Title,29,42
KCBLN,kartech-bumper-rear-fitting-fits-loose-crash-bar-assembly-1,Title,Default Title,6,9
CAB1,kartech-cable-adjuster-6mm-including-nut-1,Title,Default Title,3,5
CABCF,kartech-cable-clamp-1,Type,Kartech Cable Clamp Brake|Muffler Flat Type,5,9
CAT8D,kartech-cable-tie-1,Type,Kartech Cable Tie Double Loop  5 X 300mm 1 Packet Of 100 Black,19,32
T03L,kartech-carburettor-inlet-lever-height-gauge-1,Title,Default Title,11,16
T01,kartech-chain-breaker-kartech-219-chain-also-rejoins-chains-1,Title,Default Title,51,79
CHG3,kartech-chain-guard-r-clip-1,Title,Default Title,2,4
KCHMBU,kartech-chassis-mounting-bracket-universal-28-30-32mm-1,Title,Default Title,24,37
EM03LC,kartech-engine-mount-adjuster-bolt-long-complete-1,Title,Default Title,8,11
EMSLB,kartech-engine-mount-slide-bottom-part-1,Title,Default Title,59,85
EMSLC,kartech-engine-mount-slide-clamp-1,Title,Default Title,19,27
